aws_guardduty_member AWS::GuardDuty::Member
aws_guardduty_publishing_destination AWS::GuardDuty::PublishingDestination
aws_guardduty_threatintelset AWS::GuardDuty::ThreatIntelSet
aws_iam_access_key AWS::IAM::AccessKey
aws_iam_group AWS::IAM::Group
aws_iam_group_policy AWS::IAM::GroupPolicy
aws_iam_instance_profile AWS::IAM::InstanceProfile
aws_iam_policy AWS::IAM::Policy
aws_iam_role AWS::IAM::Role
aws_iam_role_policy AWS::IAM::RolePolicy
aws_iam_saml_provider AWS::IAM::SAMLProvider
aws_iam_server_certificate AWS::IAM::ServerCertificate
aws_iam_service_linked_role AWS::IAM::ServiceLinkedRole
aws_iam_user AWS::IAM::User
aws_iam_user_policy AWS::IAM::UserPolicy
aws_iam_virtual_mfa_device AWS::IAM::VirtualMFADevice
aws_identitystore_group AWS::IdentityStore::Group
aws_identitystore_group_membership AWS::IdentityStore::GroupMembership
aws_imagebuilder_component AWS::ImageBuilder::Component
aws_imagebuilder_container_recipe AWS::ImageBuilder::ContainerRecipe
aws_imagebuilder_distribution_configuration AWS::ImageBuilder::DistributionConfiguration
aws_imagebuilder_image AWS::ImageBuilder::Image
aws_imagebuilder_image_pipeline AWS::ImageBuilder::ImagePipeline
aws_imagebuilder_image_recipe AWS::ImageBuilder::ImageRecipe
aws_imagebuilder_infrastructure_configuration AWS::ImageBuilder::InfrastructureConfiguration
aws_imagebuilder_lifecycle_policy AWS::ImageBuilder::LifecyclePolicy
aws_imagebuilder_workflow AWS::ImageBuilder::Workflow
aws_inspector_assessment_target AWS::Inspector::AssessmentTarget
aws_inspector_assessment_template AWS::Inspector::AssessmentTemplate
aws_inspector_resource_group AWS::Inspector::ResourceGroup
aws_internetmonitor_monitor AWS::InternetMonitor::Monitor
aws_iot_authorizer AWS::IoT::Authorizer
aws_iot_billing_group AWS::IoT::BillingGroup
aws_iot_ca_certificate AWS::IoT::CACertificate
aws_iot_certificate AWS::IoT::Certificate
aws_iot_domain_configuration AWS::IoT::DomainConfiguration
aws_iot_policy AWS::IoT::Policy
aws_iot_provisioning_template AWS::IoT::ProvisioningTemplate
aws_iot_role_alias AWS::IoT::RoleAlias
aws_iot_thing AWS::IoT::Thing
aws_iot_thing_group AWS::IoT::ThingGroup
aws_iot_thing_principal_attachment AWS::IoT::ThingPrincipalAttachment
aws_iot_thing_type AWS::IoT::ThingType
aws_iot_topic_rule AWS::IoT::TopicRule
aws_iot_topic_rule_destination AWS::IoT::TopicRuleDestination
aws_ivs_channel AWS::IVS::Channel
aws_ivs_playback_key_pair AWS::IVS::PlaybackKeyPair
aws_ivs_recording_configuration AWS::IVS::RecordingConfiguration
aws_ivschat_logging_configuration AWS::IVSChat::LoggingConfiguration
aws_ivschat_room AWS::IVSChat::Room
aws_kendra_data_source AWS::Kendra::DataSource
aws_kendra_faq AWS::Kendra::Faq
aws_kendra_index AWS::Kendra::Index
aws_kinesis_analytics_application AWS::KinesisAnalytics::Application
aws_kinesis_firehose_delivery_stream AWS::KinesisFirehose::DeliveryStream
aws_kinesis_resource_policy AWS::Kinesis::ResourcePolicy
aws_kinesis_stream AWS::Kinesis::Stream
aws_kinesis_stream_consumer AWS::Kinesis::StreamConsumer
aws_kinesis_video_stream AWS::KinesisVideo::Stream
aws_kinesisanalyticsv2_application AWS::KinesisAnalyticsV2::Application
aws_kms_alias AWS::KMS::Alias
aws_kms_key AWS::KMS::Key
aws_kms_replica_key AWS::KMS::ReplicaKey
aws_lakeformation_data_cells_filter AWS::LakeFormation::DataCellsFilter
aws_lakeformation_data_lake_settings AWS::LakeFormation::DataLakeSettings
aws_lakeformation_permissions AWS::LakeFormation::Permissions
aws_lakeformation_resource AWS::LakeFormation::Resource
aws_lambda_alias AWS::Lambda::Alias
aws_lambda_code_signing_config AWS::Lambda::CodeSigningConfig
aws_lambda_event_source_mapping AWS::Lambda::EventSourceMapping
aws_lambda_function AWS::Lambda::Function
aws_lambda_layer_version AWS::Lambda::LayerVersion
aws_lambda_layer_version_permission AWS::Lambda::LayerVersionPermission
aws_lambda_permission AWS::Lambda::Permission
aws_lex_bot AWS::Lex::Bot
aws_lex_bot_alias AWS::Lex::BotAlias
aws_licensemanager_grant AWS::LicenseManager::Grant
aws_lightsail_bucket AWS::Lightsail::Bucket
aws_lightsail_certificate AWS::Lightsail::Certificate
aws_lightsail_database AWS::Lightsail::Database
aws_lightsail_disk AWS::Lightsail::Disk
aws_lightsail_distribution AWS::Lightsail::Distribution
aws_lightsail_instance AWS::Lightsail::Instance
aws_lightsail_static_ip AWS::Lightsail::StaticIp
aws_location_geofence_collection AWS::Location::GeofenceCollection
aws_location_map AWS::Location::Map
aws_location_place_index AWS::Location::PlaceIndex
aws_location_route_calculator AWS::Location::RouteCalculator
aws_location_tracker AWS::Location::Tracker
aws_m2_application AWS::M2::Application
aws_m2_deployment AWS::M2::Deployment
aws_m2_environment AWS::M2::Environment
aws_media_convert_queue AWS::MediaConvert::Queue
aws_media_package_channel AWS::MediaPackage::Channel
aws_media_packagev2_channel_group AWS::MediaPackageV2::ChannelGroup
aws_media_store_container AWS::MediaStore::Container
aws_medialive_channel AWS::MediaLive::Channel
aws_medialive_input AWS::MediaLive::Input
aws_medialive_input_security_group AWS::MediaLive::InputSecurityGroup
aws_medialive_multiplex AWS::MediaLive::Multiplex
aws_medialive_multiplex_program AWS::MediaLive::Multiplexprogram
aws_memorydb_acl AWS::MemoryDB::ACL
aws_memorydb_cluster AWS::MemoryDB::Cluster
aws_memorydb_multi_region_cluster AWS::MemoryDB::MultiRegionCluster
aws_memorydb_parameter_group AWS::MemoryDB::ParameterGroup
aws_memorydb_subnet_group AWS::MemoryDB::SubnetGroup
aws_memorydb_user AWS::MemoryDB::User
aws_msk_cluster AWS::MSK::Cluster
aws_msk_cluster_policy AWS::MSK::ClusterPolicy
aws_msk_configuration AWS::MSK::Configuration
aws_msk_replicator AWS::MSK::Replicator
aws_msk_serverless_cluster AWS::MSK::ServerlessCluster
aws_msk_vpc_connection AWS::MSK::VpcConnection
aws_mwaa_environment AWS::MWAA::Environment
aws_neptune_event_subscription AWS::Neptune::EventSubscription
aws_neptunegraph_graph AWS::NeptuneGraph::Graph
aws_networkfirewall_firewall AWS::NetworkFirewall::Firewall
aws_networkfirewall_firewall_policy AWS::NetworkFirewall::FirewallPolicy
aws_networkfirewall_logging_configuration AWS::NetworkFirewall::LoggingConfiguration
aws_networkfirewall_rule_group AWS::NetworkFirewall::RuleGroup
aws_networkfirewall_tls_inspection_configuration AWS::NetworkFirewall::TLSInspectionConfiguration
aws_networkmanager_connect_attachment AWS::NetworkManager::ConnectAttachment
aws_networkmanager_connect_peer AWS::NetworkManager::ConnectPeer
aws_networkmanager_core_network AWS::NetworkManager::CoreNetwork
aws_networkmanager_customer_gateway_association AWS::NetworkManager::CustomerGatewayAssociation
aws_networkmanager_device AWS::NetworkManager::Device
aws_networkmanager_global_network AWS::NetworkManager::GlobalNetwork
aws_networkmanager_link AWS::NetworkManager::Link
aws_networkmanager_link_association AWS::NetworkManager::LinkAssociation
aws_networkmanager_site AWS::NetworkManager::Site
aws_networkmanager_site_to_site_vpn_attachment AWS::NetworkManager::SiteToSiteVpnAttachment
aws_networkmanager_transit_gateway_peering AWS::NetworkManager::TransitGatewayPeering
aws_networkmanager_transit_gateway_registration AWS::NetworkManager::TransitGatewayRegistration
aws_networkmanager_transit_gateway_route_table_attachment AWS::NetworkManager::TransitGatewayRouteTableAttachment
aws_networkmanager_vpc_attachment AWS::NetworkManager::VpcAttachment
aws_oam_link AWS::Oam::Link
aws_oam_sink AWS::Oam::Sink
aws_opensearchserverless_access_policy AWS::OpenSearchServerless::AccessPolicy
aws_opensearchserverless_collection AWS::OpenSearchServerless::Collection
aws_opensearchserverless_lifecycle_policy AWS::OpenSearchServerless::LifecyclePolicy
aws_opensearchserverless_security_config AWS::OpenSearchServerless::SecurityConfig
aws_opensearchserverless_security_policy AWS::OpenSearchServerless::SecurityPolicy
aws_opensearchserverless_vpc_endpoint AWS::OpenSearchServerless::VpcEndpoint
aws_opsworks_instance AWS::OpsWorks::Instance
aws_opsworks_stack AWS::OpsWorks::Stack
aws_opsworks_user_profile AWS::OpsWorks::UserProfile
aws_organizations_account AWS::Organizations::Account
aws_organizations_organization AWS::Organizations::Organization
aws_organizations_organizational_unit AWS::Organizations::OrganizationalUnit
aws_organizations_policy AWS::Organizations::Policy
aws_organizations_resource_policy AWS::Organizations::ResourcePolicy
aws_osis_pipeline AWS::OSIS::Pipeline
